,B02001_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03001_002E,B03001_003E,zipcode
"ZCTA5 10038: Summary level: unknown, state:36> zip code tabulation area:10038",23311,13456,2790,405,7420,27,694,20582,2729,10038
"ZCTA5 10039: Summary level: unknown, state:36> zip code tabulation area:10039",27854,4940,18808,731,531,34,4653,18794,9060,10039
"ZCTA5 10040: Summary level: unknown, state:36> zip code tabulation area:10040",44800,19014,6486,1202,1580,0,20117,14005,30795,10040
"ZCTA5 10044: Summary level: unknown, state:36> zip code tabulation area:10044",12440,5704,1960,34,4494,96,870,10837,1603,10044
"ZCTA5 10065: Summary level: unknown, state:36> zip code tabulation area:10065",29530,25266,722,35,3742,9,194,27234,2296,10065
"ZCTA5 10069: Summary level: unknown, state:36> zip code tabulation area:10069",6051,4001,275,45,1917,0,47,5822,229,10069
"ZCTA5 10075: Summary level: unknown, state:36> zip code tabulation area:10075",22252,19138,987,333,1762,0,810,18781,3471,10075
"ZCTA5 10103: Summary level: unknown, state:36> zip code tabulation area:10103",0,0,0,0,0,0,0,0,0,10103
"ZCTA5 10110: Summary level: unknown, state:36> zip code tabulation area:10110",0,0,0,0,0,0,0,0,0,10110
"ZCTA5 10111: Summary level: unknown, state:36> zip code tabulation area:10111",0,0,0,0,0,0,0,0,0,10111
"ZCTA5 10112: Summary level: unknown, state:36> zip code tabulation area:10112",0,0,0,0,0,0,0,0,0,10112
"ZCTA5 10115: Summary level: unknown, state:36> zip code tabulation area:10115",0,0,0,0,0,0,0,0,0,10115
"ZCTA5 10119: Summary level: unknown, state:36> zip code tabulation area:10119",0,0,0,0,0,0,0,0,0,10119
"ZCTA5 10128: Summary level: unknown, state:36> zip code tabulation area:10128",58636,48448,2757,269,7217,47,2406,51065,7571,10128
"ZCTA5 10152: Summary level: unknown, state:36> zip code tabulation area:10152",0,0,0,0,0,0,0,0,0,10152
"ZCTA5 10153: Summary level: unknown, state:36> zip code tabulation area:10153",0,0,0,0,0,0,0,0,0,10153
"ZCTA5 10154: Summary level: unknown, state:36> zip code tabulation area:10154",0,0,0,0,0,0,0,0,0,10154
"ZCTA5 10162: Summary level: unknown, state:36> zip code tabulation area:10162",1486,1414,0,0,121,0,0,1302,184,10162
"ZCTA5 10165: Summary level: unknown, state:36> zip code tabulation area:10165",0,0,0,0,0,0,0,0,0,10165
"ZCTA5 10167: Summary level: unknown, state:36> zip code tabulation area:10167",0,0,0,0,0,0,0,0,0,10167
"ZCTA5 10168: Summary level: unknown, state:36> zip code tabulation area:10168",0,0,0,0,0,0,0,0,0,10168
"ZCTA5 10169: Summary level: unknown, state:36> zip code tabulation area:10169",0,0,0,0,0,0,0,0,0,10169
"ZCTA5 10170: Summary level: unknown, state:36> zip code tabulation area:10170",0,0,0,0,0,0,0,0,0,10170
"ZCTA5 10171: Summary level: unknown, state:36> zip code tabulation area:10171",0,0,0,0,0,0,0,0,0,10171
"ZCTA5 10172: Summary level: unknown, state:36> zip code tabulation area:10172",0,0,0,0,0,0,0,0,0,10172
"ZCTA5 10173: Summary level: unknown, state:36> zip code tabulation area:10173",0,0,0,0,0,0,0,0,0,10173
"ZCTA5 10174: Summary level: unknown, state:36> zip code tabulation area:10174",0,0,0,0,0,0,0,0,0,10174
"ZCTA5 10177: Summary level: unknown, state:36> zip code tabulation area:10177",0,0,0,0,0,0,0,0,0,10177
"ZCTA5 10199: Summary level: unknown, state:36> zip code tabulation area:10199",0,0,0,0,0,0,0,0,0,10199
"ZCTA5 10271: Summary level: unknown, state:36> zip code tabulation area:10271",0,0,0,0,0,0,0,0,0,10271
"ZCTA5 10278: Summary level: unknown, state:36> zip code tabulation area:10278",0,0,0,0,0,0,0,0,0,10278
"ZCTA5 10279: Summary level: unknown, state:36> zip code tabulation area:10279",42,42,0,0,0,0,0,42,0,10279
"ZCTA5 10280: Summary level: unknown, state:36> zip code tabulation area:10280",9496,7571,484,93,1832,0,8,8417,1079,10280
"ZCTA5 10282: Summary level: unknown, state:36> zip code tabulation area:10282",5783,4562,57,0,1344,0,14,5400,383,10282
"ZCTA5 10463: Summary level: unknown, state:36> zip code tabulation area:10463",71132,36609,13844,1454,3622,84,20266,35444,35688,10463
"ZCTA5 11201: Summary level: unknown, state:36> zip code tabulation area:11201",63378,43553,9991,606,9789,169,3137,56114,7264,11201
"ZCTA5 11001: Summary level: unknown, state:36> zip code tabulation area:11001",28021,18433,1794,159,6362,29,1819,24506,3515,11001
"ZCTA5 11004: Summary level: unknown, state:36> zip code tabulation area:11004",15098,6656,1096,198,7014,51,888,13315,1783,11004
"ZCTA5 11005: Summary level: unknown, state:36> zip code tabulation area:11005",1759,1717,0,0,42,0,0,1733,26,11005
"ZCTA5 11040: Summary level: unknown, state:36> zip code tabulation area:11040",41592,21190,698,480,16498,251,3627,35707,5885,11040
"ZCTA5 11096: Summary level: unknown, state:36> zip code tabulation area:11096",8362,3705,1771,12,391,0,2577,4438,3924,11096
"ZCTA5 11101: Summary level: unknown, state:36> zip code tabulation area:11101",31366,14513,5313,419,8521,150,4196,23456,7910,11101
"ZCTA5 11102: Summary level: unknown, state:36> zip code tabulation area:11102",29747,18818,3158,157,5275,59,3481,21639,8108,11102
"ZCTA5 11103: Summary level: unknown, state:36> zip code tabulation area:11103",35995,26338,1367,237,5476,119,3820,27310,8685,11103
"ZCTA5 11104: Summary level: unknown, state:36> zip code tabulation area:11104",25114,16631,817,138,6433,78,1939,17918,7196,11104
"ZCTA5 11105: Summary level: unknown, state:36> zip code tabulation area:11105",36983,29579,1288,293,4750,13,2393,29340,7643,11105
"ZCTA5 11106: Summary level: unknown, state:36> zip code tabulation area:11106",37690,21696,3402,411,8441,192,5439,27705,9985,11106
"ZCTA5 11109: Summary level: unknown, state:36> zip code tabulation area:11109",5980,4076,55,19,1984,0,34,5596,384,11109
"ZCTA5 11239: Summary level: unknown, state:36> zip code tabulation area:11239",12772,3885,7644,272,503,0,624,10428,2344,11239
"ZCTA5 11351: Summary level: unknown, state:36> zip code tabulation area:11351",0,0,0,0,0,0,0,0,0,11351
"ZCTA5 11354: Summary level: unknown, state:36> zip code tabulation area:11354",53684,11838,2015,236,35604,49,5696,45684,8000,11354
"ZCTA5 11355: Summary level: unknown, state:36> zip code tabulation area:11355",80987,11047,3335,737,59590,115,8017,68461,12526,11355
"ZCTA5 11356: Summary level: unknown, state:36> zip code tabulation area:11356",23494,8295,622,108,8051,151,7346,14044,9450,11356
"ZCTA5 11357: Summary level: unknown, state:36> zip code tabulation area:11357",39407,27934,524,103,9634,14,2177,33228,6179,11357
"ZCTA5 11358: Summary level: unknown, state:36> zip code tabulation area:11358",36515,16051,468,338,17971,0,2793,30608,5907,11358
"ZCTA5 11359: Summary level: unknown, state:36> zip code tabulation area:11359",0,0,0,0,0,0,0,0,0,11359
"ZCTA5 11360: Summary level: unknown, state:36> zip code tabulation area:11360",18954,11033,335,23,7153,11,712,16946,2008,11360
"ZCTA5 11361: Summary level: unknown, state:36> zip code tabulation area:11361",27201,13406,1336,153,11445,0,1300,23801,3400,11361
"ZCTA5 11362: Summary level: unknown, state:36> zip code tabulation area:11362",18343,9438,851,250,7691,0,631,16402,1941,11362
"ZCTA5 11363: Summary level: unknown, state:36> zip code tabulation area:11363",7096,4276,138,0,2570,0,293,6195,901,11363
"ZCTA5 11364: Summary level: unknown, state:36> zip code tabulation area:11364",36215,15057,1722,346,18680,118,1165,32045,4170,11364
"ZCTA5 11365: Summary level: unknown, state:36> zip code tabulation area:11365",44738,16673,5016,403,20467,26,4428,35594,9144,11365
"ZCTA5 11366: Summary level: unknown, state:36> zip code tabulation area:11366",14360,6396,932,13,6648,21,779,12759,1601,11366
"ZCTA5 11367: Summary level: unknown, state:36> zip code tabulation area:11367",41207,24130,3598,575,12102,112,2682,34190,7017,11367
"ZCTA5 11368: Summary level: unknown, state:36> zip code tabulation area:11368",112088,42892,11783,1684,14308,252,44641,26347,85741,11368
"ZCTA5 11369: Summary level: unknown, state:36> zip code tabulation area:11369",31481,9024,5904,211,4406,90,13011,12276,19205,11369
"ZCTA5 11370: Summary level: unknown, state:36> zip code tabulation area:11370",31580,13819,4730,411,7539,9,5851,19512,12068,11370
"ZCTA5 11371: Summary level: unknown, state:36> zip code tabulation area:11371",0,0,0,0,0,0,0,0,0,11371
"ZCTA5 11372: Summary level: unknown, state:36> zip code tabulation area:11372",62854,35921,2332,888,14012,197,11983,26736,36118,11372
"ZCTA5 11373: Summary level: unknown, state:36> zip code tabulation area:11373",94437,18465,2466,1032,46904,129,27810,55065,39372,11373
"ZCTA5 11374: Summary level: unknown, state:36> zip code tabulation area:11374",43507,25384,2251,712,14987,38,2615,36062,7445,11374
"ZCTA5 11375: Summary level: unknown, state:36> zip code tabulation area:11375",73034,46655,3464,384,23184,279,3024,62067,10967,11375
"ZCTA5 11377: Summary level: unknown, state:36> zip code tabulation area:11377",83825,41561,3224,869,32648,169,8378,52366,31459,11377
"ZCTA5 11378: Summary level: unknown, state:36> zip code tabulation area:11378",38524,28965,1127,418,4148,70,5279,25820,12704,11378
"ZCTA5 11379: Summary level: unknown, state:36> zip code tabulation area:11379",37991,30387,701,302,4550,27,3130,30274,7717,11379
